address,value
0x2993dB31D165c33D848e44A1C26a805bA411d324,0.0004877
0x2A149dC9A2d3517029209572c60f1C1C434656A2,0.271513944
0x2A4E6c78F12333481a6d932bA526eB56bD64f008,0.111665247
0x2B275cCe9c6c7F15e3Bf6aB7428B9262C9a0586d,0.000122903
0x2BFe66759f0331066F3E7D57b3DC9a96bfC17927,2.012070708
0x2CDD1f4Ec0Bf998eb8caEef79723Ad5b39d90faE,0.000208199
0x2E6F947e1EAC46830eB5Ed99B1bd2ab49f10F5dE,0.021240815
0x2aC2777057Ac5cdD9EBCa767a362f840587f15Fe,0.000503121
0x2d19f32620F647d08Fa8B9a0FA5206fAE15C0ED5,0.000434123
0x2d1EF4aCf4cae6a38950971AaAA15f88D9b3f165,0.012378917
0x2d3D74A15dfCd5e890da93f05aA5A60Bdfd679A6,0.000307506
0x2f293a6aB7B28722650F604D20Ce9925Fa827C31,0.000183515
0x3085255A678Ab8Ffa73f2a279EeA547E1b684fAd,0.00083906
0x30bF85E1d0bC7FDEDcbEeFf39225D8037cb0cb7c,0.000969161
0x3186A49932a0652f2c725bdc11F248FdEd8362dd,0.000274001
0x31D4bf1A0e8D6A2361E63781E68E14671BFAd78D,0.000119118
0x31cDb470154238D2D1075a22BB2eF3Ce1fb093d4,0.016699963
0x31e5729FeCf66C769809cefF9e8BEe1942E570Fb,0.000576232
0x324E0b53CefA84CF970833939249880f814557c6,0.320733573
0x3250E201c2eB06d086138F181E0FB6d1Fe33F7D1,8.600298551
0x3291f89461a4C1981a57940F2fCBB6Ff4362888D,0.000432683
0x33372fb9EbD6E6AEE0A29FC674A2bABAc707df53,0.001469998
0x33A9BF6730d54eb663BbDaCdb99FCb9BA19cc2FD,0.000101493
0x33cB1DE40587f1D702136f4979630E81442124f5,0.000364638
0x3420C19BCd121E6fEbCC20Fd502B14A71C2F857B,0.002019133
0x358AF75741F75140FAEDdE986e5d21b11724Bd42,0.011785184
0x35bd2188144B5Ca19ba5f7cd31deF33Fd33BbcE1,0.037530078
0x36410Ae136E07Af5C99ccF97C8E9398558f82B54,0.000706902
0x364F4B2eEe8920b6E476Dfd4e531B6fd6bfC14Cf,0.004341134
0x36716D83e2Ca16299aBee013db6df410Cd1C7dbD,0.021890419
0x368C4E8933cf3577CcC394b4e05b4E03691493f1,4.238902404
0x37335c7911924909e2c542282bE3474b7F6a70db,0.004734195
0x381351f693Da46e3800897950720C0aC6B89C78A,0.000447573
0x38661118653E8Bf61D50aa517742154baFE4B493,0.000631689
0x386F26F06D5db85FAe793C031e9880E7cBAAFaC6,0.047132497
0x3873F5e82ee3A84284ac6b95b2E3d2D43945aE1A,0.001277375
0x391117F116c15eA7EDFeEEc2a38C0596905433D4,0.00013518
0x392966180eA6890ab35C99aCBac2Cb4e5340505d,4.24E-06
0x3977263f2c5B49c47B911bceDD36F4e95Bf6668F,0.002501457
0x3A8315E25378CE9fC0d3279B26ec0576de52C0Ff,0.075808314
0x3Ac0f6c7a58974E7fE24df4bFAE7DfCA70F8B223,0.000419619
0x3De5a2F7709d7689E459D5767AC86848cc5e7e36,0.011886939
0x3E4A46a72cD7f9d66837B8b6bAeAAC4b9Ab2B8a5,3.79E-05
0x3E7C9C55d04A8365659Fe0a9069c5b7a34e4C5Cc,0.003968332
0x3F8e1e1b8dbC1fD730b5Af7a390c92b08f1134be,0.001066521
0x3d48e4396Be0959cCB30A86EaCBD56496F5cfb58,0.041415741
0x3dFbf91798b6C24B9DF31C6E291695E831bb295e,0.003910921
0x3e00395e522a8B62f905521B22d7c624aC2b246f,0.000346723
0x3e91f597F3dA2720c342a974cd30773994C63727,0.108509132
0x3efd3b195366d901B24f085340F60b3F4785609c,0.000119118
